epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2755,0.43041,3.07499,1.1392,0.0054,1,0.17746,0.15038,0.65802,2.86505,1.0243,0.00029694,0.00029694,0.00029694
2,31.6762,0.25747,2.32435,0.98874,0.14244,1,0.18264,0.17342,0.32135,2.79429,0.6862,0.000588061,0.000588061,0.000588061
3,46.4198,0.24669,2.09498,0.97051,0.13617,0.93619,0.17758,0.16811,0.31885,2.08371,0.69766,0.000867184,0.000867184,0.000867184
4,61.4732,0.23874,1.98271,0.96545,0.16683,0.80452,0.19347,0.18282,0.36141,1.91228,0.7558,0.000855005,0.000855005,0.000855005
5,75.89,0.22727,1.87484,0.96206,0.13875,0.91925,0.18281,0.18111,0.2313,1.76063,0.63008,0.000837007,0.000837007,0.000837007
6,90.2268,0.22211,1.81695,0.95499,0.13859,0.92486,0.18544,0.18082,0.25686,1.76985,0.69897,0.000819009,0.000819009,0.000819009
7,104.447,0.22007,1.77669,0.95724,0.15598,0.92365,0.22816,0.22332,0.2952,1.67309,0.6783,0.000801011,0.000801011,0.000801011
8,118.772,0.21227,1.72982,0.94646,0.1814,0.83264,0.283,0.27891,0.26085,1.62175,0.65305,0.000783013,0.000783013,0.000783013
9,133.078,0.20375,1.67601,0.94576,0.18117,0.88352,0.25636,0.25339,0.22828,1.88048,0.60199,0.000765014,0.000765014,0.000765014
10,147.256,0.19186,1.67482,0.95006,0.1924,0.6795,0.29596,0.28213,0.21217,1.79019,0.588,0.000747016,0.000747016,0.000747016
11,161.266,0.20161,1.64298,0.94872,0.17568,0.76134,0.28607,0.27351,0.22832,1.68498,0.60771,0.000729018,0.000729018,0.000729018
12,175.531,0.19394,1.62741,0.93812,0.21961,0.67843,0.31823,0.31588,0.25767,1.64968,0.65229,0.00071102,0.00071102,0.00071102
13,190.003,0.18236,1.5927,0.93827,0.20213,0.89316,0.29914,0.29755,0.24211,1.68204,0.62765,0.000693022,0.000693022,0.000693022
14,204.674,0.1903,1.57912,0.93965,0.21092,0.72426,0.31524,0.30238,0.32482,1.61291,0.75194,0.000675023,0.000675023,0.000675023
15,219.112,0.17922,1.56198,0.93617,0.23467,0.7282,0.36471,0.36317,0.24764,1.47165,0.69372,0.000657025,0.000657025,0.000657025
16,233.648,0.17473,1.56274,0.93247,0.17164,0.83115,0.32154,0.30955,0.28957,1.5513,0.72512,0.000639027,0.000639027,0.000639027
17,247.829,0.17849,1.5373,0.93637,0.18965,0.77139,0.32359,0.31956,0.2644,1.77067,0.65922,0.000621029,0.000621029,0.000621029
18,262.065,0.17736,1.52443,0.93419,0.42518,0.57469,0.38045,0.37529,0.27271,1.57264,0.66118,0.000603031,0.000603031,0.000603031
19,276.488,0.17698,1.52872,0.93378,0.23192,0.76669,0.35698,0.35162,0.26792,1.47816,0.62217,0.000585032,0.000585032,0.000585032
20,290.87,0.16698,1.51711,0.93818,0.24198,0.71527,0.35883,0.35503,0.2452,1.46588,0.629,0.000567034,0.000567034,0.000567034
21,305.089,0.17064,1.48644,0.93249,0.27518,0.52496,0.38996,0.37863,0.26499,1.41439,0.65885,0.000549036,0.000549036,0.000549036
22,319.328,0.1679,1.47143,0.9268,0.28074,0.65441,0.38177,0.37985,0.21971,1.37301,0.5898,0.000531038,0.000531038,0.000531038
23,333.994,0.17016,1.44343,0.92999,0.27218,0.61946,0.38286,0.37324,0.30733,1.4412,0.70504,0.00051304,0.00051304,0.00051304
24,349.503,0.16683,1.47055,0.93083,0.27757,0.61024,0.39573,0.38987,0.25937,1.36998,0.60376,0.000495041,0.000495041,0.000495041
25,364.446,0.16542,1.45012,0.92523,0.48064,0.45846,0.3893,0.38504,0.23612,1.38111,0.60127,0.000477043,0.000477043,0.000477043
26,379.574,0.16638,1.41041,0.9318,0.28144,0.70967,0.40731,0.40623,0.18415,1.46179,0.56418,0.000459045,0.000459045,0.000459045
27,394.583,0.15431,1.42696,0.92956,0.46447,0.5029,0.39959,0.3983,0.20479,1.39878,0.5822,0.000441047,0.000441047,0.000441047
28,409.72,0.15875,1.42123,0.92736,0.48611,0.54174,0.41305,0.41019,0.21845,1.4257,0.57138,0.000423049,0.000423049,0.000423049
29,424.98,0.15598,1.41681,0.92615,0.28696,0.59756,0.40084,0.39913,0.17406,1.66419,0.52449,0.00040505,0.00040505,0.00040505
30,440.246,0.14954,1.41195,0.91979,0.26018,0.65239,0.39329,0.39197,0.181,1.60638,0.56201,0.000387052,0.000387052,0.000387052
31,455.451,0.15439,1.37906,0.9241,0.28287,0.7002,0.3958,0.39472,0.18412,1.34194,0.53153,0.000369054,0.000369054,0.000369054
32,470.083,0.15335,1.3858,0.92569,0.27292,0.65302,0.41185,0.4106,0.19095,1.44945,0.53244,0.000351056,0.000351056,0.000351056
33,484.706,0.15675,1.36652,0.92326,0.27925,0.6935,0.39547,0.39425,0.18068,1.42656,0.53114,0.000333058,0.000333058,0.000333058
34,499.704,0.14894,1.34944,0.9221,0.29659,0.60817,0.41003,0.40672,0.25333,1.41759,0.63394,0.000315059,0.000315059,0.000315059
35,514.383,0.14877,1.3471,0.93093,0.33777,0.66651,0.43344,0.43221,0.21076,1.38222,0.57833,0.000297061,0.000297061,0.000297061
36,529.422,0.14777,1.32574,0.91687,0.31186,0.65679,0.42991,0.42849,0.17429,1.4124,0.53278,0.000279063,0.000279063,0.000279063
37,544.31,0.14413,1.35692,0.92205,0.31631,0.64373,0.42838,0.4268,0.18867,1.44789,0.54937,0.000261065,0.000261065,0.000261065
38,559.223,0.14466,1.34519,0.92934,0.29551,0.6837,0.43709,0.4351,0.2013,1.43114,0.55277,0.000243067,0.000243067,0.000243067
39,574.704,0.14146,1.32387,0.91625,0.37746,0.65107,0.42897,0.4276,0.19024,1.37074,0.55251,0.000225068,0.000225068,0.000225068
40,589.927,0.14779,1.30189,0.92417,0.34257,0.65055,0.42374,0.42236,0.19193,1.44252,0.56936,0.00020707,0.00020707,0.00020707
41,605.785,0.09644,1.19208,0.9392,0.35615,0.62849,0.41994,0.41875,0.18734,1.37798,0.54331,0.000189072,0.000189072,0.000189072
42,620.227,0.08618,1.13226,0.93126,0.33744,0.63215,0.4259,0.42456,0.22509,1.39172,0.57993,0.000171074,0.000171074,0.000171074
43,634.474,0.08068,1.0875,0.93407,0.33532,0.67974,0.41875,0.41641,0.25889,1.38395,0.62486,0.000153076,0.000153076,0.000153076
44,648.924,0.08265,1.03775,0.93268,0.36802,0.59617,0.44288,0.44081,0.22307,1.40159,0.58764,0.000135077,0.000135077,0.000135077
45,663.144,0.07958,1.01624,0.93802,0.31822,0.70218,0.44369,0.44247,0.20526,1.40425,0.55427,0.000117079,0.000117079,0.000117079
46,677.532,0.07622,0.99065,0.92555,0.34507,0.64889,0.41032,0.40836,0.2098,1.4312,0.57347,9.9081e-05,9.9081e-05,9.9081e-05
47,691.71,0.07123,0.9806,0.92667,0.34781,0.6121,0.44232,0.44004,0.2292,1.42045,0.5986,8.10828e-05,8.10828e-05,8.10828e-05
48,705.852,0.0708,0.96085,0.93361,0.34323,0.68034,0.44266,0.44142,0.18226,1.40594,0.53506,6.30846e-05,6.30846e-05,6.30846e-05
49,720.034,0.07123,0.94094,0.92601,0.36393,0.59371,0.44347,0.44226,0.19824,1.41723,0.55484,4.50864e-05,4.50864e-05,4.50864e-05
50,734.681,0.07372,0.91505,0.92804,0.34265,0.68416,0.44079,0.43957,0.19383,1.43582,0.54979,2.70882e-05,2.70882e-05,2.70882e-05
